,0,1,2,3,4,5,6
0,2,21,8,22,6,<pad>,<pad>
1,1,21,22,3,<pad>,<pad>,<pad>
2,1,2,1,8,<pad>,<pad>,<pad>
3,2,22,15,12,2,<pad>,<pad>
4,1,20,24,21,<pad>,<pad>,<pad>
5,3,10,3,23,20,21,<pad>
6,1,6,20,5,<pad>,<pad>,<pad>
7,1,23,22,20,<pad>,<pad>,<pad>
8,1,20,17,8,<pad>,<pad>,<pad>
9,3,8,1,22,20,21,<pad>
10,1,2,1,28,<pad>,<pad>,<pad>
11,1,5,20,21,<pad>,<pad>,<pad>
12,3,2,1,22,20,8,<pad>
13,1,10,22,7,<pad>,<pad>,<pad>
14,2,8,1,2,5,<pad>,<pad>
15,1,8,21,5,<pad>,<pad>,<pad>
16,1,2,1,8,<pad>,<pad>,<pad>
17,2,15,8,1,6,<pad>,<pad>
18,2,25,8,22,20,<pad>,<pad>
19,1,5,28,7,<pad>,<pad>,<pad>
20,3,5,6,20,23,24,<pad>
21,1,20,6,8,<pad>,<pad>,<pad>
22,3,8,21,23,22,10,<pad>
23,1,20,8,6,<pad>,<pad>,<pad>
24,1,24,15,21,<pad>,<pad>,<pad>
25,1,20,24,5,<pad>,<pad>,<pad>
26,1,5,2,1,<pad>,<pad>,<pad>
27,1,1,2,20,<pad>,<pad>,<pad>
28,1,21,7,20,<pad>,<pad>,<pad>
29,4,20,24,22,3,10,15
30,1,18,22,6,<pad>,<pad>,<pad>
31,3,20,11,2,1,6,<pad>
32,1,5,20,6,<pad>,<pad>,<pad>
33,1,22,8,21,<pad>,<pad>,<pad>
34,1,28,21,20,<pad>,<pad>,<pad>
35,3,20,21,15,22,3,<pad>
36,1,8,2,1,<pad>,<pad>,<pad>
37,1,6,20,21,<pad>,<pad>,<pad>
38,1,16,5,6,<pad>,<pad>,<pad>
39,1,1,2,28,<pad>,<pad>,<pad>
40,1,5,28,21,<pad>,<pad>,<pad>
41,1,21,23,20,<pad>,<pad>,<pad>
42,1,22,6,5,<pad>,<pad>,<pad>
43,1,15,10,8,<pad>,<pad>,<pad>
44,1,20,22,2,<pad>,<pad>,<pad>
45,2,5,8,15,22,<pad>,<pad>
46,2,8,15,22,6,<pad>,<pad>
